,date,CAC40GROSSTR,DAX,Â IndustrialAverageIndexTotalReturn
0,2020-04-30,12482.89,10840.91,55431.8086
1,2020-03-31,11994.8,9928.19,49840.3086
2,2020-02-28,14450.31,11890.35,57697.3086
3,2020-01-31,15801.32,12996.28,63933.6797
4,2019-12-31,16242.1,13249.01,64505.4805
5,2019-11-29,16028.49,13244.36,63323.3516
6,2019-10-31,15542.73,12899.5,60825.5117
7,2019-09-30,15401.49,12428.15,60471.4883
8,2019-08-30,14846.19,11914.08,59254.75
9,2019-07-31,14949.61,12189.51,60049.75
10,2019-06-28,14992.26,12398.8,59387.3789
11,2019-05-31,14033.94,11726.84,55341.2813
12,2019-04-30,14813.93,12344.08,59072.6992
13,2019-03-29,14118.08,11526.04,57541.7617
14,2019-02-28,13799.69,11515.64,57441.7109
15,2019-01-31,13146.7,11173.1,55215.7813
16,2018-12-31,12450.81,10555.84,51462.7695
17,2018-11-30,13135.45,11257.24,56297.9609
18,2018-10-31,13362.28,11447.51,55137.0703
19,2018-09-28,14403.33,12246.73,58028.5195
20,2018-08-31,14156.8,12364.06,56908.5313
21,2018-07-31,14429.61,12805.5,55490.0
22,2018-06-29,13935.39,12306.0,52930.9883
23,2018-05-31,14069.56,12604.89,53189.25
24,2018-04-30,14147.17,12612.11,52449.7109
25,2018-03-29,13193.11,12096.73,52270.3008
26,2018-02-28,13559.19,12435.85,54217.1094
27,2018-01-31,13967.67,13189.48,56452.3086
28,2017-12-29,13533.27,12917.64,53317.9609
29,2017-11-30,13658.19,13023.98,52311.6289
30,2017-10-31,13982.49,13229.57,50185.3008
31,2017-09-29,13534.83,12828.86,48051.3594
32,2017-08-31,12897.74,12110.12,47033.6797
33,2017-07-31,12918.48,12118.25,46728.5313
34,2017-06-30,12978.71,12325.12,45510.0391
35,2017-05-31,13336.88,12615.06,44730.2617
36,2017-04-28,13074.04,12438.01,44413.75
37,2017-03-31,12675.36,12312.87,43779.7891
38,2017-02-28,12001.04,11834.41,44041.8516
39,2017-01-31,11727.63,11535.31,41877.7383
40,2016-12-30,12005.34,11481.06,41619.6484
41,2016-11-30,11281.9,10640.3,40234.0195
42,2016-10-31,11101.18,10665.01,37999.6289
43,2016-09-30,10942.12,10511.02,38302.4219
44,2016-08-31,10901.03,10592.69,38460.5703
45,2016-07-29,10904.93,10337.5,38360.8906
46,2016-06-30,10400.4,9680.09,37267.0703
47,2016-05-31,10984.21,10262.74,36918.0391
48,2016-04-29,10610.35,10038.97,36736.7188
49,2016-03-31,10461.67,9965.51,36511.6992
50,2016-02-29,10366.75,9495.4,34054.2891
51,2016-01-29,10505.26,9798.11,33801.6992
52,2015-12-31,11025.92,10743.01,35726.0313
53,2015-11-30,11760.34,11382.23,36276.8594
54,2015-10-30,11610.92,10850.14,36022.7695
55,2015-09-30,10553.49,9660.44,33172.4805
56,2015-08-31,11005.48,10259.46,33627.0391
57,2015-07-31,12021.75,11308.99,35848.1289
58,2015-06-30,11322.71,10944.97,35661.5117
59,2015-05-29,11770.28,11413.82,36412.5898
60,2015-04-30,11712.07,11454.38,35926.9609
61,2015-03-31,11626.11,11966.17,35766.5586
62,2015-02-27,11416.5,11401.66,36440.8594
63,2015-01-30,10615.8,10694.32,34374.3516
64,2014-12-31,9849.44,9805.55,35650.3906
65,2014-11-28,10091.9,9980.85,35609.3398
66,2014-10-31,9725.87,9326.87,34618.5781
67,2014-09-30,10137.8,9474.3,33887.1289
68,2014-08-29,10042.1,9470.17,33965.0117
69,2014-07-31,9732.89,9407.48,32786.1406
70,2014-06-30,10133.9,9833.07,33263.9688
71,2014-05-30,10304.1,9943.27,33017.8398
72,2014-04-30,10071.4,9603.23,32629.1191
73,2014-03-31,9819.86,9555.91,32348.3398
74,2014-02-28,9842.25,9692.08,32049.9297
75,2014-01-31,9301.11,9306.48,30717.1992
76,2013-12-31,9589.71,9552.16,32397.1406
77,2013-11-29,9562.51,9405.3,31395.7598
78,2013-10-31,9551.62,9033.92,30240.2793
79,2013-09-30,9204.08,8594.4,29394.0391
80,2013-08-30,8724.39,8103.15,28741.0898
81,2013-07-31,8855.03,8275.97,29972.0801
82,2013-06-28,8286.19,7959.22,28785.0293
83,2013-05-31,8714.04,8348.84,29149.6094
84,2013-04-30,8353.64,7913.71,28512.0391
85,2013-03-28,8057.54,7795.31,27969.5605
86,2013-02-28,8025.59,7741.7,26929.9805
87,2013-01-31,8045.75,7776.05,26464.1191
88,2012-12-31,7846.44,7612.39,24987.4004
89,2012-11-30,7649.44,7405.5,24792.4902
90,2012-10-31,7364.2,7260.63,24823.4297
91,2012-09-28,7204.33,7216.15,25430.0605
92,2012-08-31,7292.39,6970.79,24749.6895
93,2012-07-31,7031.0,6772.26,24494.0293
94,2012-06-29,6822.01,6416.28,24214.7793
95,2012-05-31,6389.53,6264.38,23271.8906
96,2012-04-30,6665.06,6761.19,24709.9902
97,2012-03-30,7078.17,6946.83,24670.7402
98,2012-02-29,7124.3,6856.08,24150.8105
99,2012-01-31,6804.88,6458.91,23471.9395
100,2011-12-30,6518.67,5898.35,22666.8691
101,2011-11-30,6488.3,6088.84,22314.7891
102,2011-10-31,6651.41,6141.34,22053.6895
103,2011-09-30,6116.31,5502.02,20099.1094
104,2011-08-31,6651.51,5784.85,21362.0605
105,2011-07-29,7495.99,7158.77,22243.3105
106,2011-06-30,8120.03,7376.24,22709.5391
107,2011-05-31,8128.33,7293.69,22961.1602
108,2011-04-29,8155.62,7514.46,23316.9492
109,2011-03-31,7892.68,7041.31,22392.0098
110,2011-02-28,8132.42,7272.32,22190.7598
111,2011-01-31,7923.39,7077.48,21510.4199
112,2010-12-31,7526.34,6914.19,20913.8008
113,2010-11-30,7138.02,6688.49,19855.5996
114,2010-10-29,7537.07,6601.37,19978.0508
115,2010-09-30,7304.45,6229.02,19356.8203
116,2010-08-31,6863.27,5925.22,17947.4902
117,2010-07-30,7148.5,6147.97,18678.3594
118,2010-06-30,6748.15,5965.52,17418.8809
119,2010-05-31,6848.55,5964.33,18037.0195
120,2010-04-30,7263.16,6135.7,19512.0996
121,2010-03-31,7558.03,6153.55,19218.3301
122,2010-02-26,7053.64,5598.46,18248.5
123,2010-01-29,7110.56,5608.79,17726.0
124,2009-12-31,7484.93,5957.43,18335.2305
125,2009-11-30,6985.51,5625.95,18161.9902
126,2009-10-30,6818.21,5414.96,16985.6699
127,2009-09-30,7172.99,5675.16,16961.5
128,2009-08-31,6904.87,5464.61,16558.3691
129,2009-07-31,6463.24,5332.14,15926.21
130,2009-06-30,5918.47,4808.64,14644.6104
131,2009-05-29,6151.27,4940.82,14704.6699
132,2009-04-30,5803.84,4769.45,14069.1797
133,2009-03-31,5120.88,4084.76,13080.2402
134,2009-02-27,4929.6,3843.74,12118.1904
135,2009-01-30,5423.27,4338.35,13653.0596
136,2008-12-31,5866.91,4810.2,14945.1699
137,2008-11-28,5941.56,4669.44,15003.96
138,2008-10-31,6307.68,4987.97,15769.6602
139,2008-09-30,7291.78,5831.02,18312.6602
140,2008-08-29,8092.22,6422.3,19446.8301
141,2008-07-31,7928.95,6479.56,19100.6992
142,2008-06-30,8002.5,6418.32,19018.8594
143,2008-05-30,9025.67,7096.79,21141.4707
144,2008-04-30,8797.11,6948.82,21377.6602
145,2008-03-31,8247.09,6534.97,20417.7891
146,2008-02-29,8391.77,6748.13,20394.2695
147,2008-01-31,8530.39,6851.75,20971.0
148,2007-12-31,9832.9,8067.32,21955.7695
149,2007-11-30,9929.65,7870.52,22101.6699
150,2007-10-31,10211.5,8019.22,22934.8398
151,2007-09-28,9979.26,7861.51,22848.9902
152,2007-08-31,9886.74,7618.31,21937.5
153,2007-07-31,10039.5,7584.14,21633.8809
154,2007-06-29,10563.7,8007.32,21929.8105
155,2007-05-31,10594.3,7883.04,22261.0996
156,2007-04-30,10168.1,7408.87,21277.1992
157,2007-03-30,9599.01,6917.03,20098.4492
